SYMBOL,ENTREZ,ENSEMBL
CRP,1401,ENSG00000132693
DDC,1644,ENSG00000132437
ALAS1,211,ENSG00000023330
ATP2A2,488,ENSG00000174437
PLG,5340,ENSG00000122194
BPHL,670,ENSG00000137274
DDT,1652,
ALDH2,217,ENSG00000111275
KYNU,8942,ENSG00000115919
UPP1,7378,ENSG00000183696
ABCD2,225,ENSG00000173208
MBL2,4153,ENSG00000165471
