SYMBOL,ENTREZ,ENSEMBL
SELENBP1,8991,ENSG00000143416
ACKR1,2532,ENSG00000213088
CAT,847,ENSG00000121691
DAAM1,23002,ENSG00000100592
USP15,9958,ENSG00000135655
ALAS2,212,ENSG00000158578
CCDC28A,25901,ENSG00000024862
SLC4A1,6521,ENSG00000004939
CLCN3,1182,ENSG00000109572
NR3C1,2908,ENSG00000113580
ADD2,119,ENSG00000075340
FTCD,10841,
ADD1,118,ENSG00000087274
RBM5,10181,ENSG00000003756
PGLS,25796,ENSG00000130313
DCAF10,79269,ENSG00000122741
FBXO7,25793,ENSG00000100225
DCAF11,80344,
FBXO9,26268,ENSG00000112146
