SYMBOL,ENTREZ,ENSEMBL
PTX3,5806,ENSG00000163661
ITGB1,3688,ENSG00000150093
LAMA3,3909,ENSG00000053747
WIPF1,7456,ENSG00000115935
ITGB5,3693,ENSG00000082781
LAMA2,3908,ENSG00000196569
ITGB3,3690,ENSG00000259207
LAMA1,284217,ENSG00000101680
THBS1,7057,ENSG00000137801
THBS2,7058,ENSG00000186340
SGCG,6445,ENSG00000102683
SGCD,6444,ENSG00000170624
SGCB,6443,ENSG00000163069
ITGAV,3685,ENSG00000138448
COLGALT1,79709,ENSG00000130309
CTHRC1,115908,ENSG00000164932
