SYMBOL,ENTREZ,ENSEMBL
P2RX4,5025,ENSG00000135124
IL2RA,3559,ENSG00000134460
IL2RB,3560,ENSG00000100385
SYT11,23208,ENSG00000132718
LTB,4050,
SPRY4,81848,ENSG00000187678
SMPDL3A,10924,ENSG00000172594
GALM,130589,ENSG00000143891
FURIN,5045,ENSG00000140564
COCH,1690,ENSG00000100473
IL1RL1,9173,ENSG00000115602
SPRED2,200734,ENSG00000198369
LRIG1,26018,ENSG00000144749
ITGAV,3685,ENSG00000138448
LRRC8C,84230,ENSG00000171488
