SYMBOL,ENTREZ,ENSEMBL
DDIT4,54541,ENSG00000168209
TXNIP,10628,ENSG00000265972
DDIT3,1649,ENSG00000175197
TRIB3,57761,ENSG00000101255
CEBPA,1050,ENSG00000245848
HDAC3,8841,ENSG00000171720
ITGB4,3691,ENSG00000132470
TCHH,7062,ENSG00000159450
ACVR1B,91,ENSG00000135503
GM2A,2760,ENSG00000196743
SEC61A1,29927,ENSG00000058262
EPS8L2,64787,ENSG00000177106
BAK1,578,ENSG00000030110
UPP1,7378,ENSG00000183696
POLH,5429,ENSG00000170734
TNNI1,7135,ENSG00000159173
