SYMBOL,ENTREZ,ENSEMBL
EFS,10278,ENSG00000100842
CKMT2,1160,ENSG00000131730
SGCG,6445,ENSG00000102683
SGCD,6444,ENSG00000170624
SGCA,6442,ENSG00000108823
SPEG,10290,ENSG00000072195
TNNI2,7136,
CACNG1,786,ENSG00000108878
NOS1,4842,ENSG00000089250
EPHB3,2049,ENSG00000182580
LARGE1,9215,ENSG00000133424
TNNI1,7135,ENSG00000159173
