SYMBOL,ENTREZ,ENSEMBL
RRM2,6241,ENSG00000171848
SPAG5,10615,ENSG00000076382
DCK,1633,ENSG00000156136
SSRP1,6749,ENSG00000149136
RAD50,10111,ENSG00000113522
WEE1,7465,ENSG00000166483
PPM1D,8493,ENSG00000170836
NOP56,10528,ENSG00000101361
NUP107,57122,ENSG00000111581
PRPS1,5631,ENSG00000147224
WDR90,197335,ENSG00000161996
POLE,5426,ENSG00000177084
POLD1,5424,ENSG00000062822
POLD2,5425,ENSG00000106628
POLD3,10714,ENSG00000077514
TRA2B,6434,ENSG00000136527
