SYMBOL,ENTREZ,ENSEMBL
ATRX,546,ENSG00000085224
POLQ,10721,ENSG00000051341
KATNA1,11104,ENSG00000186625
PRC1,9055,ENSG00000198901
KPNB1,3837,ENSG00000108424
DBF4,10926,ENSG00000006634
TTK,7272,ENSG00000112742
RPS6KA5,9252,ENSG00000100784
CDC45,8318,ENSG00000093009
POLE,5426,ENSG00000177084
EXO1,9156,ENSG00000174371
TRA2B,6434,ENSG00000136527
FBXO5,26271,ENSG00000112029
BUB3,9184,ENSG00000154473
BUB1,699,ENSG00000169679
